City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
268,Broken Hill,-31.95,141.4333,51.08,56,0,7.67,AU,2022-11-16 19:43:45
269,Waddan,29.1614,16.139,66.29,24,0,6.4,LY,2022-11-16 19:43:46
270,Rio Gallegos,-51.6226,-69.2181,68.05,12,40,11.5,AR,2022-11-16 19:43:46
271,Tondano,1.3038,124.9112,68.09,93,94,2.24,ID,2022-11-16 19:43:46
272,Khatanga,71.9667,102.5,-14.78,99,99,4.23,RU,2022-11-16 19:41:27
273,Jaffna,9.6685,80.0074,77.31,71,35,9.93,LK,2022-11-16 19:43:47
274,Anadyr,64.75,177.4833,36.1,80,0,13.42,RU,2022-11-16 19:43:47
275,Kahului,20.8947,-156.47,80.62,67,20,11.5,US,2022-11-16 19:43:12
276,Zyryanka,65.75,150.85,-10.7,98,100,15.28,RU,2022-11-16 19:44:47
277,Jijiang,29.2906,106.2542,58.5,67,1,1.45,CN,2022-11-16 19:44:48
278,Copiapo,-27.3667,-70.3333,64.09,37,5,10.45,CL,2022-11-16 19:44:48
279,Lengshuitan,26.4111,111.5956,57.51,84,84,4.99,CN,2022-11-16 19:44:48
280,Clyde River,70.4692,-68.5914,5.23,85,100,18.41,CA,2022-11-16 19:43:36
281,Wamba,8.9333,8.6,76.46,37,32,3.87,NG,2022-11-16 19:44:48
282,Coihueco,-36.6167,-71.8333,81.34,32,0,8.05,CL,2022-11-16 19:44:49
283,Challapata,-18.9,-66.7667,62.28,27,80,10.25,BO,2022-11-16 19:44:49
284,Madinat Sittah Uktubar,29.8167,31.05,67.6,57,2,7.49,EG,2022-11-16 19:44:49
285,Nome,64.5011,-165.4064,28.47,80,0,20.71,US,2022-11-16 19:44:50
286,Santa Cruz De La Palma,28.6835,-17.7642,75.15,88,20,6.91,ES,2022-11-16 19:44:50
287,Bilma,18.6853,12.9164,70.34,21,0,7.09,NE,2022-11-16 19:44:50
288,Corrente,-3.7367,-43.3394,89.22,42,6,2.82,BR,2022-11-16 19:44:50
289,Galveston,29.3669,-94.9669,53.19,74,100,13.8,US,2022-11-16 19:42:39
290,Santa Cruz,-17.8,-63.1667,95.05,38,20,8.05,BO,2022-11-16 19:44:51
291,Kavieng,-2.5744,150.7967,81.27,73,100,9.64,PG,2022-11-16 19:44:51
